,dataset,mode,size,channels,auc,class,f1,run
165,pokemon,test,4,192.0,0.8571428571428571,3,,0
166,pokemon,test,4,192.0,0.6307692307692307,4,,0
167,pokemon,test,4,192.0,,5,,0
168,pokemon,test,4,192.0,0.5357142857142857,6,,0
169,pokemon,test,4,192.0,,7,,0
170,pokemon,test,4,192.0,0.9666666666666668,8,,0
171,pokemon,test,4,192.0,,9,,0
172,pokemon,test,4,192.0,0.42857142857142855,10,,0
173,pokemon,test,4,192.0,0.4333333333333333,11,,0
174,pokemon,test,4,192.0,,12,,0
175,pokemon,test,4,192.0,0.5119047619047619,13,,0
176,pokemon,test,4,192.0,,14,,0
177,pokemon,test,4,192.0,0.2,15,,0
178,pokemon,test,4,192.0,,16,,0
179,pokemon,test,4,192.0,0.3154761904761905,17,,0
180,pokemon,test,4,192.0,,0,,1
181,pokemon,test,4,192.0,0.6896551724137931,1,,1
182,pokemon,test,4,192.0,0.3760683760683761,2,,1
183,pokemon,test,4,192.0,0.5833333333333333,3,,1
184,pokemon,test,4,192.0,0.4230769230769232,4,,1
185,pokemon,test,4,192.0,,5,,1
186,pokemon,test,4,192.0,0.4047619047619048,6,,1
187,pokemon,test,4,192.0,,7,,1
188,pokemon,test,4,192.0,0.033333333333333326,8,,1
189,pokemon,test,4,192.0,,9,,1
190,pokemon,test,4,192.0,0.2857142857142857,10,,1
191,pokemon,test,4,192.0,0.4799999999999999,11,,1
192,pokemon,test,4,192.0,,12,,1
193,pokemon,test,4,192.0,0.26190476190476186,13,,1
194,pokemon,test,4,192.0,,14,,1
195,pokemon,test,4,192.0,0.9666666666666668,15,,1
196,pokemon,test,4,192.0,,16,,1
197,pokemon,test,4,192.0,0.33333333333333337,17,,1
198,pokemon,test,4,192.0,,0,,2
199,pokemon,test,4,192.0,0.3965517241379311,1,,2
200,pokemon,test,4,192.0,0.670940170940171,2,,2
201,pokemon,test,4,192.0,0.6071428571428572,3,,2
202,pokemon,test,4,192.0,0.5461538461538461,4,,2
203,pokemon,test,4,192.0,,5,,2
204,pokemon,test,4,192.0,0.4404761904761905,6,,2
205,pokemon,test,4,192.0,,7,,2
206,pokemon,test,4,192.0,0.033333333333333326,8,,2
207,pokemon,test,4,192.0,,9,,2
208,pokemon,test,4,192.0,0.2857142857142857,10,,2
209,pokemon,test,4,192.0,0.4666666666666667,11,,2
